Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
1,600.8141727,0,-0,-4.019398986e-15,8.385513498e-16,0.2
1,600.8141727,0,-0,-4.019398986e-15,8.385513498e-16,0.2
1,600.8141727,0,-0,-4.019398986e-15,8.385513498e-16,0.2
1,600.8141727,0,-0,-4.019398986e-15,8.385513498e-16,0.2
1,600.8141727,0,-0,-4.019398986e-15,8.385513498e-16,0.2
2,604.7526647,99.02722044,9.700326567,4.998839222,0.3586193084,0.2
2,604.7526647,99.02722044,9.700326567,4.998839222,0.3586193084,0.2
2,604.7526647,99.02722044,9.700326567,4.998839222,0.3586193084,0.2
2,604.7526647,99.02722044,9.700326567,4.998839222,0.3586193084,0.2
2,604.7526647,99.02722044,9.700326567,4.998839222,0.3586193084,0.2
2.625,619.6913727,94.33097513,19.54137831,8.761777929,1.480564233,0.2
2.625,619.6913727,94.33097513,19.54137831,8.761777929,1.480564233,0.2
2.625,619.6913727,94.33097513,19.54137831,8.761777929,1.480564233,0.2
2.8,637.1229294,90.13309799,24.56575939,11.08660646,1.253560153,0.2
3.01667,641.9192166,89.03398889,25.43604761,11.55811729,1.286704683,0.2
3.20833,647.741739,87.71150257,26.26858023,12.06170866,1.382371897,0.2
3.40833,652.8329966,86.56115876,26.81931643,12.44626288,1.495886377,0.2
3.60833,658.2428133,85.34119128,27.24111631,12.80220319,1.625796534,0.2
3.81667,663.9505847,84.04975628,27.51449065,13.12225001,1.722697293,0.2
4.00833,669.2368886,82.83015394,27.61135395,13.36994513,1.678848727,0.2
4.20833,674.7613441,81.57073612,27.66658385,13.51108964,1.587804604,0.2
4.40833,680.2654923,80.38756115,27.13217428,12.29135957,1.028248842,0.2
4.60833,685.4698808,79.34607135,24.67136089,9.873224906,0.2348208279,0.2
4.80833,689.9961488,78.46878253,20.50579753,7.233916815,-0.2233045113,0.2
5.3,692.5092331,77.97220546,17.30193418,5.745340354,-0.32553086,0.2
5.3,692.5092331,77.97220546,17.30193418,5.745340354,-0.32553086,0.2
5.45833,697.2955454,76.92285787,8.452796104,2.210861763,-0.4183671528,0.8
5.60833,698.8191984,76.3915136,2.251003496,-0.4155717092,-0.4479784466,0.8
5.80833,698.8525507,76.13959683,-1.777938764,-2.290452627,-0.5097938044,0.8
6.00833,698.0932693,75.98321856,-5.599399142,-3.673696723,-0.6698393426,0.8
6.20833,696.6474737,75.90139742,-8.660069101,-4.609291638,-0.8795658205,0.8
6.41667,694.5593698,75.86719711,-11.18836563,-5.074634127,-1.040387577,0.8
6.60833,692.2807281,75.84266296,-12.42840312,-4.928492562,-1.089718228,0.8
6.80833,689.6392269,75.79095673,-12.8246326,-4.708591737,-1.122183769,0.8
7.01667,687.1884989,75.71716554,-12.70901519,-4.599347196,-1.136938252,0.8
7.20833,684.6754112,75.61890957,-12.40731106,-4.582998578,-1.1325529,0.8
7.41667,682.1293278,75.49616518,-12.02248676,-4.534774529,-1.116822751,0.8
7.60833,679.9654289,75.36328386,-11.58019013,-4.344667571,-1.123348225,0.8
7.80833,677.635184,75.16953699,-10.76191066,-3.86952476,-1.169045976,0.8
8.00833,675.5947296,74.9305953,-9.644395776,-3.327238648,-1.240112842,0.8
8.2,673.8698289,74.65127221,-8.377664454,-2.796382044,-1.328532068,0.8
8.4,672.3983745,74.32577097,-7.023551151,-2.258830368,-1.433068384,0.8
8.61667,671.0380772,73.92232116,-5.616928482,-1.715634617,-1.543105971,0.8
8.8,670.0731599,73.54194214,-4.496151796,-1.225530443,-1.201388833,0.8
9.00833,669.2878734,73.19727371,-3.394674884,-0.7450272608,-0.7306265332,0.8
9.20833,668.6941003,72.93458435,-2.353303528,-0.3124400805,-0.6367400897,0.8
9.4,668.3313322,72.77040672,-1.475107734,0.06540518094,-0.818630553,0.8
9.6,668.1266704,72.64929364,-0.6049290051,0.4577780187,-1.089630628,0.8
9.80833,668.0953013,72.56329909,0.2473225617,0.6750898165,-1.286371336,0.8
