Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
1,489.2444057,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444057,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444057,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444057,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444057,0,-0,1.675137613e-15,1.504891864e-15,0.2
2,492.2577019,98.21486108,8.520914383,4.638805115,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914383,4.638805115,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914383,4.638805115,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914383,4.638805115,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914383,4.638805115,0.4364369682,0.2
2.53333,505.7817502,93.71584662,17.92850157,8.249422461,1.370163987,0.2
2.53333,505.7817502,93.71584662,17.92850157,8.249422461,1.370163987,0.2
2.65833,516.3339958,91.00788625,21.45716948,9.831551897,1.267235067,0.2
2.80833,522.0591802,89.62344273,22.80061273,10.49576017,1.264975472,0.2
3.00833,526.7104453,88.51702771,23.66563421,10.96400234,1.307319418,0.2
3.20833,531.7224634,87.33767594,24.40482835,11.4073143,1.387667724,0.2
3.40833,536.4550234,86.23131621,24.94080564,11.77342795,1.482477088,0.2
3.60833,541.4881434,85.05835668,25.35374616,12.11132845,1.589287979,0.2
3.80833,546.5885676,83.86743347,25.59948227,12.41014415,1.664458382,0.2
4.00833,551.7262433,82.63734169,25.79179969,12.93124966,1.603319852,0.2
4.20833,556.9256487,81.39583781,26.21773037,13.52805067,1.503047393,0.2
4.40833,562.2227734,80.18499903,26.65913885,13.44627693,1.354712525,0.2
4.60833,567.5023085,79.065447,25.92992775,12.25380424,1.174518978,0.2
4.80833,572.4939406,78.0672099,23.89588737,10.82828343,0.9687910016,0.2
5.00833,577.0135548,77.1723179,21.31150072,9.621508742,0.7763130703,0.2
5.20833,581.0078508,76.3455729,18.71138724,8.573690872,0.7746762711,0.75
5.40833,584.5049161,75.55357483,16.35890719,7.642576833,0.9446114084,0.75
5.60833,587.5522916,74.80174278,14.19129727,6.680015758,1.157130919,0.75
5.80833,590.1749904,74.09586344,12.10076873,5.7341517,1.391588195,0.75
6.00833,592.3941672,73.43352653,10.18966792,4.996184217,1.623562321,0.75
6.68333,594.1173093,72.85709272,8.690930541,4.441029995,1.822492983,0.75
6.68333,594.1173093,72.85709272,8.690930541,4.441029995,1.822492983,0.75
6.68333,594.1173093,72.85709272,8.690930541,4.441029995,1.822492983,0.75
6.85833,597.6745118,71.37762689,5.567556982,3.161244062,2.31101687,0.75
7.01667,599.1980461,70.52730828,4.138796244,2.475248631,2.596148145,0.75
7.21667,599.9464323,70.00955508,3.395590148,2.114630713,2.787897463,0.75
7.41667,600.5582036,69.50060768,2.767183687,1.791132344,2.978678143,0.75
7.60833,601.0358086,69.01976415,2.250807824,1.498496499,3.142300105,0.75
7.81667,601.4511912,68.50292417,1.770172697,1.251203571,3.036652974,0.75
8.01667,601.7688623,68.0073262,1.427243399,1.1036885,2.632807153,0.75
8.2,602.0107322,67.54977022,1.209513595,1.038277396,2.010983967,0.75
8.4,602.2358829,67.0468352,1.049475624,0.911775439,1.294011958,0.75
8.60833,602.42868,66.53335191,0.7713077212,0.3052781255,0.6278595196,0.75
8.8,602.5067257,66.10149855,0.01331778219,-0.7368520633,-0.08037298297,0.75
9,602.3766312,65.7762926,-1.314987894,-1.952429358,-1.108748462,0.75
9.20833,601.9144267,65.61030864,-3.116320738,-3.161037323,-2.276803978,0.75
9.40833,601.0970725,65.60781581,-4.990175041,-4.031382418,-3.394986712,0.75
9.6,599.9727658,65.71612774,-6.669394602,-4.722137554,-4.450006228,0.75
9.80833,598.397025,65.93938469,-8.392401286,-5.538934744,-5.679619036,0.75
10,596.6276479,66.23357689,-10.01294463,-6.451277574,-7.262471935,0.75
10.2,594.4319532,66.62763041,-11.87990952,-7.524082532,-9.457743531,0.75
10.4083,591.7262823,67.12775804,-14.00364577,-8.627260713,-12.05101304,0.75
10.6,588.8337229,67.66159438,-16.06444146,-9.610339516,-14.49171424,0.75
10.8083,585.2304111,68.31490208,-18.3974591,-10.65681163,-17.1273435,0.75
11,581.6487887,68.94910998,-20.52660505,-11.56823431,-19.41056993,0.75
11.2167,576.9014445,69.7673908,-23.13781309,-12.64488407,-22.05364551,0.75
11.4,572.2199312,70.55209472,-25.53855873,-13.60758737,-24.32846917,0.75
11.6167,566.6010144,71.46520799,-28.23832669,-14.37970636,-25.59901518,0.75
11.8083,561.2398401,72.29597832,-30.13134517,-14.63774344,-25.40405356,0.75
12,554.5278425,73.2834679,-31.72573426,-14.90851719,-24.8097147,0.75
12.2083,548.0670232,74.19753158,-32.82737337,-15.27734135,-24.25084703,0.75
12.4167,541.3964382,75.11918774,-33.80758054,-15.7068192,-24.72084246,0.75
12.6083,534.5247304,76.05214214,-34.8022803,-16.11200265,-26.45192076,0.75
12.8083,527.4453486,76.99712456,-35.87514013,-16.49693521,-28.55791882,0.75
13,520.467283,77.90750025,-36.96660016,-16.58991737,-27.27002448,0.75
13.2083,512.7721911,78.82327228,-36.87314385,-15.05077203,-19.6086669,0.75
13.4083,505.9716765,79.4746825,-34.12808282,-12.67000371,-11.20925218,0.75
13.6,500.0959908,79.91190696,-30.05857414,-10.46379961,-3.720128879,0.75
13.8,494.167926,80.20484545,-24.71674543,-7.849736072,4.475994819,0.75
14,489.7034907,80.29967722,-19.93357148,-5.303890519,11.44192469,0.75
14.2083,486.0193086,80.24779402,-15.37103866,-2.595556346,18.2016223,0.75
14.4,483.4143795,80.08465543,-11.64405376,-0.2497876834,24.18687076,0.75
14.6083,481.3209486,79.80871277,-8.197927975,1.904290944,30.69570941,0.75
14.8083,479.9028649,79.47596062,-5.598779093,3.407286525,37.12336909,0.75
15,478.9532403,79.12190028,-3.842049378,4.19124719,42.96483217,0.75
15.2083,478.2597559,78.71872221,-2.615170781,4.250585095,45.47608741,0.75
15.4,477.9168788,78.28842446,-1.136978513,4.256543629,42.41360666,0.75
15.6083,478.0249814,77.67581488,1.92119319,4.77420528,37.55492459,0.75
