t,alt_msl_m,ias_kt,vs_fpm,pitch_deg,roll_deg,hdg_deg,throttle
0.0,937.68,65.207,-709.113,1.708,1.672,270.415,0.464
0.2,936.969,65.493,-699.059,2.161,-1.153,269.668,0.452
0.4,936.258,65.198,-681.779,2.247,-1.059,269.689,0.442
0.6,935.546,64.218,-705.529,1.91,2.437,269.726,0.462
0.8,934.835,65.543,-662.085,1.615,-0.491,270.222,0.434
1.0,934.124,65.268,-722.693,2.133,-0.25,269.861,0.434
1.2,933.413,64.678,-667.837,1.972,1.131,270.088,0.457
1.4,932.702,65.349,-721.446,2.056,-0.52,270.343,0.437
1.6,931.99,65.219,-704.077,1.463,0.027,269.662,0.454
1.8,931.279,65.176,-690.899,2.091,0.238,270.442,0.438
2.0,930.568,65.017,-648.629,1.45,1.402,270.008,0.442
2.2,929.857,65.328,-677.604,1.827,-1.621,269.947,0.46
2.4,929.146,64.558,-710.147,2.177,-0.838,270.459,0.448
2.6,928.434,64.902,-667.522,1.635,-0.132,270.137,0.455
2.8,927.723,64.711,-705.343,1.627,0.908,269.605,0.446
3.0,927.012,65.359,-719.786,1.91,-0.644,269.982,0.443
3.2,926.301,65.024,-688.783,2.329,0.461,269.768,0.441
3.4,925.59,64.825,-697.638,2.323,-0.514,270.079,0.438
3.6,924.878,64.531,-676.158,1.878,-0.395,269.859,0.451
3.8,924.167,64.846,-713.743,2.2,1.274,269.898,0.452
4.0,923.456,65.005,-690.462,2.116,-0.236,270.287,0.464
4.2,922.745,64.835,-684.136,2.052,2.962,269.492,0.45
4.4,922.034,65.776,-693.049,2.071,0.359,270.084,0.444
4.6,921.322,65.604,-700.725,1.855,1.126,269.929,0.452
4.8,920.611,63.373,-717.44,2.16,0.742,270.097,0.461
5.0,919.9,63.867,-677.406,2.212,-1.556,269.288,0.432
5.2,919.189,64.895,-696.569,2.54,-1.54,269.713,0.463
5.4,918.478,64.747,-687.592,2.183,0.487,269.877,0.438
5.6,917.766,65.128,-708.769,1.509,-1.106,270.495,0.438
5.8,917.055,65.13,-699.675,1.759,-0.548,269.623,0.472
6.0,916.344,66.271,-725.931,2.066,-0.337,269.662,0.457
6.2,915.633,64.333,-697.862,2.013,-0.917,269.942,0.44
6.4,914.922,64.773,-680.87,1.627,1.183,270.095,0.454
6.6,914.21,66.226,-697.675,1.971,0.779,269.816,0.459
6.8,913.499,65.388,-678.515,1.927,0.175,270.025,0.452
7.0,912.788,65.398,-692.177,1.989,0.561,269.509,0.456
7.2,912.077,64.692,-665.904,1.975,-0.907,270.506,0.449
7.4,911.366,64.011,-704.751,2.183,0.874,269.898,0.45
7.6,910.654,65.1,-740.966,2.292,-0.851,270.038,0.433
7.8,909.943,65.065,-689.188,2.136,1.561,270.81,0.434
