t,alt_msl_m,ias_kt,vs_fpm,pitch_deg,roll_deg,hdg_deg,throttle
0.0,937.68,65.113,-676.23,2.21,-1.88,269.723,0.456
0.2,936.969,64.686,-664.788,1.927,0.644,269.967,0.433
0.4,936.258,64.752,-711.925,1.916,0.153,269.602,0.443
0.6,935.546,63.535,-687.333,2.098,0.13,269.916,0.442
0.8,934.835,66.08,-711.204,2.321,-0.695,269.914,0.445
1.0,934.124,65.686,-736.923,1.982,-0.859,270.41,0.47
1.2,933.413,64.805,-712.147,2.066,1.459,269.702,0.452
1.4,932.702,65.464,-740.565,1.959,0.601,269.905,0.466
1.6,931.99,65.169,-715.231,1.857,-1.109,270.394,0.452
1.8,931.279,64.668,-695.743,1.688,0.094,269.489,0.45
2.0,930.568,65.587,-682.884,1.981,-1.248,270.308,0.448
2.2,929.857,64.814,-668.667,1.943,2.967,269.862,0.45
2.4,929.146,64.803,-709.402,1.947,0.466,270.174,0.463
2.6,928.434,64.525,-695.193,2.395,-1.72,269.997,0.459
2.8,927.723,65.273,-690.568,1.93,1.014,270.19,0.456
3.0,927.012,64.94,-687.219,2.064,0.712,269.004,0.459
3.2,926.301,65.327,-772.407,1.928,0.397,269.787,0.438
3.4,925.59,64.636,-720.601,2.234,0.263,269.348,0.442
3.6,924.878,65.076,-681.257,1.94,-0.471,269.911,0.434
3.8,924.167,64.465,-729.174,2.371,-0.11,269.803,0.442
4.0,923.456,65.505,-695.013,1.945,-1.947,270.019,0.459
4.2,922.745,65.113,-680.372,2.154,1.388,270.501,0.439
4.4,922.034,65.198,-748.654,2.202,2.09,270.159,0.439
4.6,921.322,65.246,-706.023,1.951,0.58,270.122,0.442
4.8,920.611,64.394,-695.344,2.17,0.695,270.193,0.434
5.0,919.9,65.47,-701.02,2.011,-1.291,269.931,0.448
5.2,919.189,66.234,-739.566,1.846,-0.353,270.455,0.453
5.4,918.478,64.017,-692.663,1.864,-1.347,270.203,0.459
5.6,917.766,63.962,-715.381,2.065,-1.239,270.018,0.449
5.8,917.055,64.097,-680.81,2.356,0.614,270.371,0.452
6.0,916.344,65.505,-690.643,1.9,1.494,269.896,0.457
6.2,915.633,65.077,-715.18,2.108,0.005,269.853,0.441
6.4,914.922,65.647,-697.065,1.837,2.559,269.744,0.441
6.6,914.21,65.433,-718.759,2.05,0.897,269.583,0.45
6.8,913.499,65.126,-719.038,1.737,-2.195,269.642,0.447
7.0,912.788,65.17,-741.066,1.84,-0.338,270.356,0.444
7.2,912.077,64.898,-707.573,1.997,1.376,269.875,0.446
