Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
1,489.2444105,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444105,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444105,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444105,0,-0,1.675137613e-15,1.504891864e-15,0.2
1,489.2444105,0,-0,1.675137613e-15,1.504891864e-15,0.2
2,492.2577019,98.21486108,8.520914381,4.638805114,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914381,4.638805114,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914381,4.638805114,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914381,4.638805114,0.4364369682,0.2
2,492.2577019,98.21486108,8.520914381,4.638805114,0.4364369682,0.2
2.45,505.7817502,93.71584662,17.92850157,8.249422461,1.370163987,0.2
2.45,505.7817502,93.71584662,17.92850157,8.249422461,1.370163987,0.2
2.625,514.5672345,91.44577781,20.97747772,9.603844384,1.274421522,0.2
2.81667,522.2537545,89.57739283,22.84503513,10.51790426,1.266591589,0.2
3.01667,526.9132314,88.46946518,23.70359926,10.98468279,1.313530797,0.2
3.21667,531.7288455,87.3364551,24.40991195,11.40947553,1.392997508,0.2
3.41667,536.6703991,86.18135593,24.96602116,11.79061214,1.492329597,0.2
3.60833,541.2852243,85.10600593,25.3445335,12.10038276,1.589262464,0.2
3.81667,546.8119124,83.81553408,25.63069784,12.41611846,1.666196456,0.2
4.01667,551.9520889,82.5930497,25.73426988,12.65783529,1.598220644,0.2
4.64167,555.8129876,81.68383622,25.72239579,12.80620837,1.527526251,0.2
4.64167,555.8129876,81.68383622,25.72239579,12.80620837,1.527526251,0.2
4.64167,555.8129876,81.68383622,25.72239579,12.80620837,1.527526251,0.2
4.825,568.3557419,78.87097567,25.20176088,13.08260676,1.338485475,0.2
5.025,577.2652925,76.97464383,24.49761455,13.18169656,1.268623467,0.2
5.20833,581.7245322,76.01050882,24.17089594,13.2655213,1.280726251,0.75
5.41667,586.935416,74.83037094,23.95030365,13.40111415,1.341248692,0.75
5.61667,591.7152645,73.70849621,23.85811393,13.57238014,1.394337037,0.75
5.81667,596.2869568,72.60777756,23.85934409,13.77927311,1.436687078,0.75
6.00833,600.8690151,71.4898194,23.91308663,13.70893668,1.38146282,0.75
6.20833,605.6279047,70.3354777,23.62454936,13.06479014,1.230454384,0.75
6.40833,610.4432984,69.18867011,22.46757295,11.52228903,1.094260617,0.75
6.625,614.7352593,68.17124092,20.41434213,9.784761052,0.9965226058,0.75
6.80833,618.5601341,67.24069532,17.86652711,8.153630586,0.9375101433,0.75
7.00833,621.8561033,66.39718571,15.1685908,6.706481385,0.8935607689,0.75
7.21667,624.6154452,65.63526333,12.50077866,5.421322902,0.8496541949,0.75
7.4,626.7710581,64.96988049,10.11182013,4.610959225,0.8584474155,0.75
7.60833,628.6523191,64.29406002,8.077614565,4.132337885,0.887583757,0.75
7.8,630.0567214,63.70001067,6.661225185,3.765523856,0.8979258018,0.75
8,631.2185455,63.12619603,5.523829026,3.36236364,0.8916079086,0.75
8.20833,632.2880404,62.50376611,4.388144182,2.834991801,0.8724564666,0.75
8.40833,633.0581174,61.95901854,3.347105577,2.281040351,0.8519328142,0.75
8.6,633.5984066,61.46692249,2.329497798,1.697269354,0.8337245126,0.75
8.8,633.9496621,60.99163636,1.215463453,1.021750393,0.7978966226,0.75
9.00833,634.0732382,60.62190032,0.06151327985,0.3555173058,0.4451645884,0.75
9.20833,633.9586126,60.38718491,-1.146932893,-0.5372806466,-0.544478771,0.75
9.4,633.6037372,60.31330353,-2.538359957,-1.708599495,-1.767510022,0.75
9.60833,632.8765699,60.38130036,-4.40952599,-3.170617162,-3.132106936,0.75
9.81667,631.7774025,60.58332648,-6.503983929,-4.462483037,-4.115759145,0.75
10,630.3308706,60.8819212,-8.489076248,-5.422340439,-4.624873182,0.75
10.2,628.4315382,61.28117538,-10.40313298,-6.278593175,-4.956311474,0.75
10.4083,626.0635429,61.77562377,-12.23417515,-7.13014671,-5.229209947,0.75
10.6083,623.4437687,62.31552368,-13.87592808,-7.99448801,-5.494376038,0.75
10.8083,620.6249236,62.89013377,-15.45570699,-8.919528978,-5.701684713,0.75
11,617.3554846,63.54729066,-17.15558602,-9.859454309,-5.846663316,0.75
11.2083,613.5927095,64.2849452,-18.8807331,-10.64657805,-5.974780325,0.75
11.4,609.8301842,64.99768563,-20.2852235,-11.13779077,-6.131478273,0.75
11.6083,605.4594322,65.79612787,-21.59562909,-11.55126469,-6.247969971,0.75
11.8083,601.033494,66.5746659,-22.60236626,-11.79023108,-6.295745302,0.75
12,596.6259063,67.32068898,-23.33575725,-11.79092306,-6.095429602,0.75
12.2,591.9185672,68.07979626,-23.68996473,-11.48841838,-5.646704715,0.75
12.4,587.1909288,68.80103559,-23.55233305,-11.0558278,-5.114882181,0.75
12.6,582.7122843,69.45923309,-23.18942064,-10.8086838,-4.601922315,0.75
12.8083,577.9255166,70.14926166,-22.78218477,-10.64289415,-4.033375072,0.75
13.0083,573.2244138,70.81277368,-22.3511249,-10.33865285,-3.420023665,0.75
13.2,569.1785219,71.36409707,-21.78667033,-9.895006484,-2.841692843,0.75
13.4083,564.5569078,71.97087998,-20.89169228,-9.445781698,-2.108099764,0.75
13.6083,560.4612787,72.49978519,-20.09034498,-9.213765247,-1.417935342,0.75
13.8,556.6719638,72.99018631,-19.47567689,-9.13085034,-0.7956948701,0.75
14,552.8261115,73.49212558,-19.01664537,-9.227826608,-0.3179416931,0.75
14.2083,548.8789261,74.01827414,-18.9035931,-9.494356081,0.03164882363,0.75
14.4167,545.0831113,74.52992785,-19.06336236,-9.662732391,0.3821852618,0.75
14.6167,541.2597459,75.03325277,-19.12332466,-9.469337562,1.022328012,0.75
14.8,537.7722946,75.47310232,-18.89804928,-9.210114118,1.681300705,0.75
15.0083,533.7198412,75.96951023,-18.50703963,-9.050546998,2.259745413,0.75
15.2083,530.0490959,76.41641725,-18.2091927,-9.09519979,2.665801631,0.75
15.4083,526.4129502,76.86496824,-18.17337714,-9.363518647,2.945825513,0.75
15.6083,522.7530806,77.32509172,-18.43720445,-9.756238841,3.040585671,0.75
15.8,519.1671145,77.78075439,-18.96335087,-10.03022978,2.930961548,0.75
16,515.4908085,78.23812794,-19.36742806,-10.05836763,2.76037339,0.75
16.2,511.4301693,78.72588625,-19.59942594,-9.974529678,2.565978987,0.75
16.4083,507.3507437,79.19203822,-19.52647655,-9.64640507,2.338673179,0.75
16.6,503.6482421,79.59021383,-19.10689582,-9.258137032,2.10305798,0.75
16.8083,499.8950373,79.97224532,-18.44112109,-8.86357655,1.85299339,0.75
17.0083,496.1415045,80.33513629,-17.61914278,-8.468969591,1.611611116,0.75
17.2,492.9860714,80.62607643,-16.8369638,-8.121752839,1.421446329,0.75
17.4083,489.447418,80.93946673,-15.87947779,-7.846645422,1.187475175,0.75
17.6167,486.3428825,81.21464815,-15.23412081,-7.864827568,0.9159675578,0.75
17.8167,483.3281611,81.49133094,-14.95947106,-7.992789575,0.6177788088,0.75
18,480.5925734,81.74812568,-14.89992709,-8.071525217,0.3409092533,0.75
18.2,477.4892891,82.04041171,-14.89812147,-8.096955365,0.01795071993,0.75
18.4,474.5114643,82.31793194,-14.88178042,-8.077840845,-0.2630449689,0.75
18.6167,471.540927,82.58995768,-14.81715093,-8.039130638,-0.4327004523,0.75
18.8,468.5845581,82.85863224,-14.77003264,-8.146619902,-0.5279853378,0.75
19,465.4923961,83.14373333,-14.92864721,-8.360414637,-0.5962781342,0.75
19.2,462.6030649,83.41373475,-15.20791697,-8.55250951,-0.6330717115,0.75
19.4,459.523022,83.70514838,-15.59905804,-8.853290322,-0.5919388011,0.7285637728
19.6,456.3445136,84.04848628,-16.17335647,-9.18453933,-0.492622949,0.5484994641
19.8,453.0430149,84.41727393,-16.81238087,-9.476868129,-0.3637846459,0.5356377278
20,449.6120818,84.77548759,-17.47835037,-9.770263864,-0.2105337188,0.5356377278
20.2,446.0485001,85.11290542,-18.10516818,-9.850802684,-0.06308241809,0.5356377278
20.4,442.3971715,85.41101012,-18.34762598,-9.637666537,0.05928555385,0.5356377278
20.6,438.7459604,85.65836,-18.13940867,-9.376273657,0.1754477327,0.5356377278
20.8,435.1545341,85.8610586,-17.76914376,-9.320828067,0.3135348123,0.5356377278
21,431.6079749,86.04185893,-17.7600561,-9.699661852,0.5005749526,0.5356377278
21.2,428.0051323,86.21621316,-18.25500686,-9.769048559,0.7018356678,0.5356377278
21.4,424.3672664,86.34756158,-18.00312944,-9.003113374,0.879977436,0.5356377278
21.6167,420.5976585,86.40945915,-16.74762422,-8.112897761,0.9824546465,0.5356377278
21.8167,417.3971725,86.40620131,-15.33187611,-7.653094254,0.9273525756,0.5356377278
22.0167,414.4515554,86.37288023,-14.19885808,-7.466972009,0.8204041513,0.5356377278
22.2333,411.6906314,86.32633963,-13.49403352,-7.462130071,0.7035922836,0.5356377278
22.4167,409.0374173,86.26907888,-13.05896879,-7.319501742,0.5783108794,0.5356377278
22.6167,406.4796649,86.19601317,-12.53949296,-7.219789508,0.439299012,0.5356377278
22.8167,403.9944579,86.12492087,-12.38443857,-7.529598942,0.2891787101,0.5356377278
23.0083,401.6950946,86.07864987,-12.72740204,-7.957245851,0.1630690679,0.5356377278
23.2333,398.8534336,86.05216702,-13.50803114,-8.431233072,0.02517742224,0.5356377278
23.4167,396.062986,86.05205141,-14.37004961,-8.736119928,-0.1111449873,0.5356377278
23.6167,393.1156308,86.0666391,-15.05789617,-8.835150501,-0.2748859898,0.5356377278
23.8167,390.0571983,86.08570184,-15.48886374,-8.845546519,-0.4550700432,0.5356377278
24.0167,386.932239,86.10575858,-15.74159463,-8.866729821,-0.6401920394,0.5356377278
24.2167,383.7636005,86.12819933,-15.94340931,-8.9410188,-0.7726481579,0.5356377278
24.4167,380.5535376,86.15434544,-16.14842912,-9.000762344,-0.824937857,0.4713290461
